Days,RushHour,Weather,Temperature,Humidity,Density
0.83,1.0,0.12,0.23,0.62,0.0
0.33,1.0,0.25,0.26,0.56,2.0
0.17,0.0,0.5,0.26,0.67,0.0
0.33,1.0,0.38,0.29,0.45,2.0
0.67,0.0,0.5,0.3,0.35,0.0
0.83,1.0,0.12,0.26,0.48,0.0
0.33,1.0,0.25,0.26,0.56,2.0
0.33,1.0,0.38,0.28,0.46,1.0
0.17,1.0,0.5,0.25,0.67,3.0
0.0,0.0,0.5,0.21,0.88,0.0
0.17,1.0,0.5,0.26,0.54,1.0
0.83,0.0,0.25,0.31,0.37,3.0
0.17,0.0,0.38,0.27,0.61,0.0
0.5,0.0,0.38,0.22,0.7,1.0
0.67,1.0,0.25,0.26,0.54,1.0
0.17,0.0,0.5,0.28,0.59,0.0
0.67,1.0,0.12,0.26,0.52,3.0
0.0,0.0,0.5,0.3,0.45,2.0
0.0,1.0,0.5,0.23,0.82,3.0
0.5,0.0,0.25,0.3,0.38,0.0
0.5,1.0,0.5,0.22,0.75,0.0
0.17,0.0,0.5,0.27,0.59,0.0
0.33,0.0,0.38,0.3,0.39,1.0
0.5,0.0,0.4,0.28,0.47,2.0
0.5,0.0,0.25,0.2,0.79,0.0
0.5,0.0,0.38,0.27,0.46,1.0
0.67,0.0,0.5,0.21,0.8,3.0
0.33,0.0,0.25,0.3,0.34,2.0
0.67,1.0,0.5,0.23,0.68,3.0
0.17,1.0,0.38,0.27,0.59,0.0
0.5,0.0,0.25,0.3,0.38,1.0
0.67,0.0,0.5,0.29,0.37,1.0
0.83,0.0,0.5,0.21,0.77,1.0
0.0,0.0,0.5,0.29,0.46,2.0
0.83,0.0,0.25,0.31,0.37,2.0
0.83,0.0,0.12,0.31,0.34,3.0
0.26,0.0,0.5,0.28,0.5,3.0
0.5,0.0,0.5,0.28,0.37,2.0
0.5,1.0,0.25,0.26,0.59,2.0
0.17,0.0,0.38,0.28,0.56,1.0
0.33,0.0,0.5,0.3,0.43,1.0
0.5,0.0,0.38,0.29,0.45,1.0
0.83,0.0,0.25,0.22,0.8,3.0
0.83,1.0,0.38,0.26,0.59,3.0
0.67,0.0,0.38,0.3,0.35,2.0
0.17,0.0,0.5,0.3,0.44,3.0
0.67,1.0,0.5,0.26,0.4,0.0
0.17,0.0,0.5,0.28,0.51,0.0
0.5,0.0,0.5,0.3,0.42,2.0
0.17,1.0,0.5,0.22,0.81,0.0
0.5,1.0,0.38,0.22,0.79,3.0
0.67,0.0,0.5,0.3,0.36,0.0
0.17,1.0,0.5,0.23,0.76,3.0
0.0,1.0,0.5,0.27,0.54,1.0
0.17,1.0,0.5,0.21,0.77,0.0
