id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jumlah_kendaraan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),719720,UNIT,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),168624,UNIT,2013
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),86419,UNIT,2013
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,217202,UNIT,2013
5,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),266444,UNIT,2013
6,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),305472,UNIT,2013
7,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,208546,UNIT,2013
8,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,150491,UNIT,2013
9,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,163019,UNIT,2013
10,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,177026,UNIT,2013
11,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),230677,UNIT,2013
12,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),124826,UNIT,2013
13,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,205267,UNIT,2013
14,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,158009,UNIT,2013
15,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,179072,UNIT,2013
16,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),81467,UNIT,2013
17,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,206979,UNIT,2013
18,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,142734,UNIT,2013
19,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,396331,UNIT,2013
20,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),702178,UNIT,2013
21,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),317351,UNIT,2013
22,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,49262,UNIT,2013
23,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,256610,UNIT,2013
24,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,67512,UNIT,2013
25,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),402852,UNIT,2013
26,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),397104,UNIT,2013
27,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),316523,UNIT,2013
28,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,119544,UNIT,2013
29,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,883221,UNIT,2013
30,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,417813,UNIT,2013
31,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),197492,UNIT,2013
32,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,184091,UNIT,2013
33,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,138350,UNIT,2013
34,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,42168,UNIT,2013
35,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),779462,UNIT,2014
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),184297,UNIT,2014
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),90248,UNIT,2014
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,241114,UNIT,2014
39,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),286975,UNIT,2014
